"file","sourceId","title","status","measures","noteCount","harmonyCount","sectionCount","keySignature","windowMeasures","proposalCount","referenceOverlapCount","selectedCenter","selectedCenterSource","primaryProposalName","primaryChords","parseError"
"a-002-A child is born.musicxml","a","A child is born","harmonized","25","67","59","0","C","1 2 3 4 5 6 7 8","5","7","D minor","reference","Estratégia — Tonal Clássico","Dmaj9 / A7/G / D6/A / Am7/D",""
"a-004-Actual proof.musicxml","a","Actual proof","harmonized","36","214","21","2","","1 2 3 4 5 6 7 8","9","4","B minor","reference","Estratégia — Centro de referência","Bm7 | Bm7 | Bm7 | Em7 | C#m7b5 | Bm7 | Bm7 | Bm7",""
"a-005-Affirmation.musicxml","a","Affirmation","harmonized","41","165","23","3","Db","1 2 3 4 5 6 7 8","6","4","Eb minor","reference","Estratégia — Cromático Linear","Abmaj7/Eb / F#dim7/E / Edim7/F / Ebdim7/Bb",""
"a-006-African flower.musicxml","a","African flower","harmonized","40","75","49","0","Ab","1 2 3 4 5 6 7 8","13","8","F minor","reference","Estratégia — Tonal Clássico","Fmaj7 / Fm7/Bb / Fmaj7/C / Fm7",""
"a-007-Afro blue.musicxml","a","Afro blue","harmonized","27","87","12","0","Ab","1 2 3 4 5 6 7 8","7","2","C minor","reference","Estratégia — Tonal Clássico","Cmaj7 / Fmaj7 / G13 / Cmaj9",""
"a-008-Afro-centric.musicxml","a","Afro-centric","harmonized","26","107","11","0","","15 16 17 18 19 20 21 22","1","3","Gb major","reference","Estratégia — Centro de referência","Gb | Db7/F | Gb | Gb | Gb | Abm7 | Db7 | Gb",""
"a-009-Afro-centric.musicxml","a","Afro-centric","harmonized","34","142","55","0","D","1 2 3 4 5 6 7 8","9","7","B minor","reference","Estratégia — Tonal Clássico","F#m7/B / F#m7/E / F#m7 / F#m7/B",""
"a-010-After you.musicxml","a","After you","harmonized","20","93","34","0","","1 2 3 4 5 6 7 8","14","8","Bb major","reference","Estratégia — Cromático Linear","Bb6 / Bdim7 / C7 / F7",""
"a-011-After you've gone.musicxml","a","After you've gone","harmonized","26","110","44","2","","1 2 3 4 5 6 7 8","10","7","Bb major","reference","Estratégia — Contraponto de Baixo","Edim7/Bb / Ebmaj7 / C7/E / F7 / Bbmaj7",""
"a-012-Afternoon in Paris.musicxml","a","Afternoon in Paris","harmonized","38","153","36","0","Db","1 2 3 4 5 6 7 8","5","6","Bb minor","melody","Estratégia — Gramática funcional ii-V","Ebm7 | Ab7 | Dbmaj7",""
"a-013-Ain't it the truth.musicxml","a","Ain't it the truth","harmonized","26","110","77","3","Eb","1 2 3 4 5 6 7 8","12","8","Eb major","reference","Estratégia — Tonal Clássico","Ebmaj7 / Bb7/Ab / Ebmaj7/Bb / Ebmaj7",""
"a-014-Ain't misbehavin.musicxml","a","Ain't misbehavin","harmonized","34","109","46","3","Ab","1 2 3 4 5 6 8 9","8","4","Bb minor","reference","Estratégia — Tonal Clássico","Bbmaj7 / Cm7/Eb / F7 / Bbmaj9",""
"a-015-Airegin.musicxml","a","Airegin","harmonized","34","224","54","4","Ab","1 2 3 4 5 6 7 8","7","7","Ab major","reference","Estratégia — Dominantes secundárias","Ab | Db | Ab/C | Ab | Ab7 | Db | Gm7b5 / Bb7/Ab / Eb7/G | Ab",""
"a-017-Aja.musicxml","a","Aja","harmonized","34","147","51","3","C","1 2 3 4 5 6 7 8","7","8","D minor","reference","Estratégia — Tonal Clássico","Gmaj7/D / Gmaj7 / A7 / Dmaj7",""
"a-019-Alfie.musicxml","a","Alfie","harmonized","25","127","40","0","Db","1 2 3 4 5 6 7 8","10","7","Bb minor","reference","Estratégia — Tonal Clássico","Bbmaj7 / Ebmaj7 / F7 / Ebmaj7/Bb",""
"a-020-Alfie's theme.musicxml","a","Alfie's theme","harmonized","50","85","54","0","C","1 2 3 4 5 6 7 8","7","8","C major","reference","Estratégia — Tonal Clássico","Cmaj7 / Fmaj7 / G7 / Cmaj7",""
"a-021-Alice in wonderland.musicxml","a","Alice in wonderland","harmonized","23","96","37","0","D","1 2 3 4 5 6 7 8","8","7","B minor","reference","Estratégia — Cromático Linear","Bdim7 / Bdim7/C / C#7 / A#7/F#",""
"a-022-All alone.musicxml","a","All alone","harmonized","12","37","7","0","C","2 3 4 5 6 7 8 9","6","3","A minor","melody","Estratégia — Gramática funcional ii-V","Dm7 | G7 | Cmaj7",""
"a-023-All blues.musicxml","a","All blues","harmonized","35","106","45","0","F","4 5 6 7 8 9 10 11","5","8","D minor","reference","Estratégia — Tonal Clássico","Gmaj7/D / Dm7/G / Dmaj7/A / Dmaj7",""
"a-024-All in love is fair.musicxml","a","All in love is fair","harmonized","30","130","45","3","G","1 2 3 4 5 6 7 8","5","7","A minor","reference","Estratégia — Tonal Clássico","Amaj7 / Dmaj7 / E7 / Amaj7",""
"a-025-All my tomorrows.musicxml","a","All my tomorrows","harmonized","32","85","24","0","C","1 2 3 4 5 6 7 8","7","4","D minor","reference","Estratégia — Tonal Clássico","Am7/D / Gmaj7 / A7 / Gmaj7/D",""
"a-026-All of me.musicxml","a","All of me","harmonized","33","79","37","0","Eb","1 2 3 4 5 6 7 8","7","7","Ab minor","reference","Estratégia — Cromático Linear","Abmaj7 / Eb7/A / Ddim7/A / Bb7",""
"a-027-All of you.musicxml","a","All of you","harmonized","48","122","88","3","C","1 2 3 4 5 6 7 8","5","8","A minor","reference","Estratégia — Cromático Linear","Amaj7 / C#dim7/Bb / C#dim7/Bb / B#dim7/B",""
"a-028-All or nothing at all.musicxml","a","All or nothing at all","harmonized","36","90","34","0","Ab","1 2 3 4 5 6 7 8","6","7","Ab major","reference","Estratégia — Tonal Clássico","Abmaj7 / Eb13/Db / Ab6/Eb / Dbm6/Ab",""
"a-030-All the things you are.musicxml","a","All the things you are","harmonized","30","81","38","3","Bb","1 2 3 4 5 6 7 8","9","8","Bb major","reference","Estratégia — Tonal Clássico","Bbmaj7 / F13/Eb / Bb6/F / Bb6",""
"a-031-Almost like being in love.musicxml","a","Almost like being in love","harmonized","33","86","44","0","F","1 2 3 4 5 6 7 8","7","7","D minor","reference","Estratégia — Tonal Clássico","Dmaj7 / Em7/G / A7 / Dmaj7",""
"a-032-Alone together.musicxml","a","Alone together","harmonized","34","121","43","3","Ab","1 2 3 4 5 6 7 8","1","8","A major","reference","Estratégia — Centro de referência","A | A | A | A | F#m7 | A | D | A",""
"a-033-Along came Betty.musicxml","a","Along came Betty","harmonized","31","132","58","0","C","1 2 3 4 5 6 7 8","6","8","A minor","reference","Estratégia — Centro de referência","Am | Am7 | Am | Am7 | Am7 | Fmaj7 | Am/E | Am",""
"a-034-Always and forever.musicxml","a","Always and forever","harmonized","54","109","55","0","","5 6 7 8 9 10 11 12","1","8","C minor","reference","Estratégia — Centro de referência","Bb7 | Bb7 | Cm6 | Cm | Cm | Cm7 | Cm | Cm",""
"a-035-Ana Maria.musicxml","a","Ana Maria","harmonized","27","120","61","3","Eb","1 2 3 4 5 6 7 8","4","8","C minor","reference","Estratégia — Cromático Linear","Cdim7 / Cdim7/Db / Cdim7/Db / D7",""
"a-037-Angel eyes.musicxml","a","Angel eyes","harmonized","41","160","34","3","A","1 2 3 4 5 6 7 8","8","7","F# minor","reference","Estratégia — Contraponto de Baixo","F#maj7 / Bmaj7 / G#7/B# / F#dim7/C# / F#maj7",""
"a-039-Another Time.musicxml","a","Another Time","harmonized","26","151","49","3","Bb","1 2 3 4 5 6 7 8","9","8","Bb major","reference","Estratégia — Contraponto de Baixo","Bbmaj7 / F7/Eb / C7/E / A7/F / G#dim7/Bb",""
"a-040-Anthropology.musicxml","a","Anthropology","harmonized","25","77","33","1","F","1 2 3 4 5 6 7 8","5","8","D minor","reference","Estratégia — Cromático Linear","Dmaj7 / F#dim7/Eb / F#dim7/Eb / E7",""
"a-042-April.musicxml","a","April","harmonized","32","97","46","0","C","1 2 3 4 5 6 7 8","5","7","C major","reference","Estratégia — Tonal Clássico","Fmaj7/C / Fmaj7 / G7 / Cmaj9",""
"a-045-April in Paris.musicxml","a","April in Paris","harmonized","29","121","25","2","C","1 2 3 4 5 6 7 8","6","4","A major","reference","Estratégia — Contraponto de Baixo","Gmaj7/A / Gmaj7/D / E7/B / G#7/E / Amaj7",""
"a-046-April joy.musicxml","a","April joy","harmonized","36","163","37","4","Eb","1 2 3 4 5 6 7 8","8","3","Eb major","melody","Estratégia — Cromático Linear","Eb6 / Edim7 / F7 / D7/Bb",""
"a-047-Armando's rhumba.musicxml","a","Armando's rhumba","harmonized","27","107","76","0","Eb","1 2 3 4 5 6 7 8","7","7","Eb major","reference","Estratégia — Centro de referência","Eb | Fm7 | Bb7 | Cm7 | Bb7 | Fm7/Ab | Eb/G | Eb",""
"a-048-As time goes by.musicxml","a","As time goes by","harmonized","29","254","53","4","F","1 2 3 4 5 6 7 8","9","7","D minor","reference","Estratégia — Cromático Linear","Dmaj9 / A7/Eb / E7 / C#7/A",""
"a-049-Asa.musicxml","a","Asa","harmonized","29","260","53","4","F","1 2 3 4 5 6 7 8","7","7","D minor","reference","Estratégia — Centro de referência","Dm7 | Bbmaj7 | Dm7/A | Bbmaj7 | Gm7 | Dm7/F | Bbmaj7 | Dm7",""
"a-052-Ask me now.musicxml","a","Ask me now","harmonized","33","111","63","0","","1 2 3 4 5 6 7 8","12","7","C major","reference","Estratégia — Tonal Clássico","Cmaj7 / Dm7/F / Gm7 / Cmaj7",""
"a-053-At last.musicxml","a","At last","harmonized","12","62","21","0","F","1 2 3 4 5 6 7 8","8","8","F major","reference","Estratégia — Tonal Clássico","Fmaj7 / Gm7/Bb / Fmaj7(#11)/C / Fmaj7",""
"a-054-Au privave.musicxml","a","Au privave","harmonized","32","115","54","0","F","1 2 3 5 6 7 9 10","6","8","G minor","reference","Estratégia — Tonal Clássico","Gmaj9 / Am7/C / D7 / Cmaj7/G",""
"a-055-Autumn in New York.musicxml","a","Autumn in New York","harmonized","28","68","35","2","Bb","1 2 3 4 5 6 7 8","6","7","G minor","reference","Estratégia — Centro de referência","Gm | Cm7 | F7 | Gm | Gm7 | Cm7 | D7 | Gm",""
"a-056-Autumn leaves.musicxml","a","Autumn leaves","harmonized","33","59","18","0","Bb","1 2 3 4 5 6 7 8","13","4","Bb major","reference","Estratégia — Cromático Linear","Bbmaj7 / Ddim7/B / Ddim7/B / C7",""
"b-002-Baby It's Cold Outside.musicxml","b","Baby It's Cold Outside","harmonized","25","177","19","0","Bb","1 2 3 4 5 6 7 8","11","4","Eb major","melody","Estratégia — Contraponto de Baixo","Ebmaj9 / Fm7/Ab / F7/A / Bb7 / Ebmaj9",""
"b-003-Bag's groove.musicxml","b","Bag's groove","harmonized","32","167","40","3","C","2 3 4 5 6 7 8 9","5","7","G major","reference","Estratégia — Contraponto de Baixo","Gmaj7 / Gm7/C / A7/C# / F#7/D / Gmaj7",""
"b-004-Ballin' the jack.musicxml","b","Ballin' the jack","harmonized","13","64","13","0","Bb","1 2 3 4 5 6 7 8","8","7","Db major","melody","Estratégia — Melodia primeiro","Bbm7 | Db6/9 | Db6/9 | Db6/9 | Ab7/C | Db6/9 | Ab7/C | Db",""
"b-005-Ba-lue Bolivar ba-lues are.musicxml","b","Ba-lue Bolivar ba-lues are","harmonized","16","102","13","0","F","1 2 3 4 5 6 7 8","9","4","D minor","melody","Estratégia — Gramática funcional ii-V","Gm7 | C7 | Fmaj7",""
"b-007-Basin street blues.musicxml","b","Basin street blues","harmonized","37","188","58","0","Ab","1 2 3 4 5 6 7 8","9","4","F minor","reference","Estratégia — Contraponto de Baixo","Fmaj7 / Bbmaj7 / G7/B / E7/C / Bbmaj7/F",""
"b-008-Be bop.musicxml","b","Be bop","harmonized","21","48","25","0","F","1 2 3 4 5 6 7 8","6","7","F major","reference","Estratégia — Tonal Clássico","F6 / C13/Bb / Fmaj7/C / Fmaj9",""
"b-009-Beautiful love.musicxml","b","Beautiful love","harmonized","17","53","32","0","C","1 2 3 4 5 6 7 8","8","7","A minor","reference","Estratégia — Tonal Clássico","Em7/A / Em7/D / Em7 / Am7",""
"b-010-Bemsha swing.musicxml","b","Bemsha swing","harmonized","25","82","29","3","F","1 2 3 4 5 6 7 8","6","6","D minor","reference","Estratégia — Tonal Clássico","Dmaj7 / C#7/G / A7 / Dmaj9",""
"b-011-Bernie's tune.musicxml","b","Bernie's tune","harmonized","19","92","24","0","Eb","1 2 3 4 5 6 7 8","10","7","Eb major","melody","Estratégia — Gramática funcional ii-V","Gm7 | C7 | Fmaj7",""
"b-012-Bessie's blues.musicxml","b","Bessie's blues","harmonized","27","88","43","0","C","1 2 3 4 5 6 7 8","6","7","D minor","reference","Estratégia — Centro de referência","Gm7 | C7 | Dm6 | C7 | Dm6 | C7 | Em7b5/Bb | Dm",""
"b-013-Bewitched.musicxml","b","Bewitched","harmonized","25","141","29","0","C","1 2 3 4 5 6 7 8","10","7","C major","melody","Estratégia — Tonal Clássico","Cmaj7 / Dm7/F / G7 / Cm7",""
"b-014-Billie's bounce.musicxml","b","Billie's bounce","harmonized","13","84","13","0","Bb","1 2 3 4 5 6 7 8","9","6","G minor","melody","Estratégia — Gramática funcional ii-V","Cm7 | F7 | Bbmaj7",""
"b-019-Birk's works.musicxml","b","Birk's works","harmonized","27","93","54","0","C","1 2 3 4 5 6 7 8","8","7","C major","reference","Estratégia — Contraponto de Baixo","Cmaj7 / Fmaj7 / D7/F# / G7 / Cmaj7",""
"b-020-Birth of the blues.musicxml","b","Birth of the blues","harmonized","24","95","32","0","Db","1 2 3 4 5 6 7 8","6","3","Bb minor","reference","Estratégia — Tonal Clássico","Bbmaj7 / F7/Eb / Bbmaj7/F / Ebmaj7/Bb",""
"b-021-Black and tan fantasy.musicxml","b","Black and tan fantasy","harmonized","36","163","52","0","Db","1 2 3 4 5 6 7 8","7","7","Ab minor","melody","Estratégia — Gramática funcional ii-V","Dbm7 | Gb7 | Cbmaj7",""
"b-022-Black coffe.musicxml","b","Black coffe","harmonized","24","58","27","0","C","1 2 3 4 5 6 7 8","7","8","Ab minor","reference","Estratégia — Contraponto de Baixo","Abmaj9 / Bbm7/Db / Bb7/D / Eb7 / F7(b9)/Ab",""
"b-024-Black nile.musicxml","b","Black nile","harmonized","39","103","49","0","C","1 2 3 4 5 6 7 8","5","7","A minor","reference","Estratégia — Cromático Linear","Amaj7 / G#m7b5/Bb / E7/B / F##dim7/E",""
"b-026-Black Orpheus.musicxml","b","Black Orpheus","harmonized","32","121","66","2","Eb","1 2 3 4 5 6 7 8","8","8","Eb major","reference","Estratégia — Tonal Clássico","Ebmaj7 / Fm7/Ab / Bb7 / Ebmaj7",""
"b-027-Blame it on my youth.musicxml","b","Blame it on my youth","harmonized","50","108","23","4","F","1 2 3 4 5 6 7 8","8","5","Eb major","reference","Estratégia — Tonal Clássico","Ebmaj7 / Bb7/Ab / Eb6/Bb / Ebmaj7(#11)/Eb",""
"b-028-Blessed relief.musicxml","b","Blessed relief","harmonized","12","76","10","0","Bb","1 2 3 4 5 6 7 8","6","5","Db minor","reference","Estratégia — Tonal Clássico","Db6 / Gbmaj7 / Ab13 / Dbmaj7",""
"b-029-Bloomdido.musicxml","b","Bloomdido","harmonized","17","48","13","0","Eb","1 2 3 4 5 6 7 8","8","5","C minor","reference","Estratégia — Centro de referência","Cm | G7/B | Cm7 | Abmaj7 | Fm7 | Fm7 | Bb7 | Cm",""
"b-030-Blue bossa.musicxml","b","Blue bossa","harmonized","20","95","22","0","D","1 2 3 4 5 6 7 8","10","7","B minor","reference","Estratégia — Tonal Clássico","Bm7 / Bm7/E / F#7 / Bmaj7",""
"b-031-Blue Daniel.musicxml","b","Blue Daniel","harmonized","13","29","16","0","C","1 2 3 4 5 6 7 8","6","8","Bb major","reference","Estratégia — Contraponto de Baixo","Edim7/Bb / Ebmaj7 / Dm7/C / F7 / Bbmaj7",""
"b-032-Blue in green.musicxml","b","Blue in green","harmonized","12","65","13","0","Bb","1 2 3 4 5 6 7 8","11","8","Bb major","melody","Estratégia — Tonal Clássico","Bbmaj7 / F7/Eb / Bb6/F / Bbmaj7",""
"b-033-Blue Monk.musicxml","b","Blue Monk","harmonized","33","121","87","3","Eb","1 2 3 4 5 6 7 8","6","7","Eb major","reference","Estratégia — Dominantes secundárias","Eb | C7/E / Fm / Fm | Bb7/D | Eb | Eb | Eb | Dm7b5 / F7/Eb / Bb7/D | Eb",""
"b-034-Blue moon.musicxml","b","Blue moon","harmonized","26","86","43","0","F","1 2 3 4 5 6 7 8","9","8","F major","reference","Estratégia — Dominantes secundárias","F | C7/E | F | F | F7 | Bb | Em7b5 / G7/F / C7/E | F",""
"b-035-Blue room.musicxml","b","Blue room","harmonized","15","43","22","0","Eb","1 2 3 4 5 6 7 8","10","8","C minor","reference","Estratégia — Tonal Clássico","Cmaj7 / G7/F / Cmaj7/G / Cmaj7",""
"b-036-Blue trane.musicxml","b","Blue trane","harmonized","35","99","39","0","Eb","1 2 3 4 5 6 7 8","12","5","Eb major","reference","Estratégia — Tonal Clássico","Ebmaj7 / Abmaj7 / Bb13 / Ebmaj9",""
"b-037-Blueberry hill.musicxml","b","Blueberry hill","harmonized","12","76","19","0","F","1 2 3 4 5 6 7 8","10","8","D minor","reference","Estratégia — Contraponto de Baixo","Dm7 / Gm6 / E7/G# / A7 / Dmaj7",""
"b-038-Blues for Alice.musicxml","b","Blues for Alice","harmonized","24","46","20","0","Bb","1 2 3 4 5 6 7 8","8","7","G minor","reference","Estratégia — Tonal Clássico","Dm7/G / Cm6 / D7 / Cmaj7/G",""
"b-039-Bluesette.musicxml","b","Bluesette","harmonized","25","103","55","0","Db","1 2 3 4 5 6 7 8","7","8","Db major","reference","Estratégia — Tonal Clássico","Dbmaj9 / Ab7/Gb / Dbmaj7/Ab / Dbdim7",""
"b-041-Bohemia after dark.musicxml","b","Bohemia after dark","harmonized","21","81","20","0","C","1 2 3 4 5 6 7 8","6","5","D major","reference","Estratégia — Tonal Clássico","Gmaj7/D / Gmaj7 / A7 / Dmaj7",""
"b-042-Bolivia.musicxml","b","Bolivia","harmonized","25","148","40","0","F","1 2 3 4 5 6 7 8","8","8","F major","reference","Estratégia — Cromático Linear","F6 / Adim7/Gb / Adim7/Gb / G7",""
"b-043-Boplicity.musicxml","b","Boplicity","harmonized","26","129","52","0","Eb","1 2 3 4 5 6 7 8","8","8","C minor","reference","Estratégia — Centro de referência","Abmaj7 | Cm6/G | Cm | Cm | Fm7 | Fm7 | Dm7b5 | Cm",""
"b-046-Both sides of the coin.musicxml","b","Both sides of the coin","harmonized","33","73","33","0","Bb","1 2 3 4 5 6 7 8","5","7","Bb major","reference","Estratégia — Cromático Linear","Bbmaj7 / Bdim7 / F7/B / C7",""
"b-050-Bud Powell.musicxml","b","Bud Powell","harmonized","12","33","10","0","Bb","1 2 5 6 9 10","6","4","Bb major","melody","Estratégia — Cromático Linear","Bbmaj7 / Ddim7/B / Ddim7/B / F7/C",""
"b-052-Bud's blues.musicxml","b","Bud's blues","harmonized","25","77","40","0","G","1 2 3 4 5 6 7 8","5","7","A minor","reference","Estratégia — Cromático Linear","Amaj7 / D#dim7/Bb / B7 / E7",""
"b-053-But beautyful.musicxml","b","But beautyful","harmonized","13","61","9","0","Bb","1 2 3 4 5 6 7 8","10","4","Ab major","melody","Estratégia — Cromático Linear","Ab6 / Ddim7/A / Bb7 / Eb7",""
"b-054-Buzzy.musicxml","b","Buzzy","harmonized","32","76","49","2","C","1 2 3 4 5 6 7 8","5","8","F major","reference","Estratégia — Contraponto de Baixo","Fmaj7 / Bbmaj7 / G7/B / C7 / Fmaj7",""
"c-002-Cantaloupe island.musicxml","c","Cantaloupe island","harmonized","36","104","20","0","Ab","1 2 3 4 5 6 7 8","6","6","C major","melody","Estratégia — Melodia primeiro","C6/9 | C6/9 | C6/9 | C6/9 | C6/9 | C6/9 | C6/9 | C",""
"c-003-Caravan.musicxml","c","Caravan","harmonized","16","41","23","0","F","1 2 3 4 5 6 7 8","6","8","F major","reference","Estratégia — Tonal Clássico","Fmaj7 / Bbmaj7 / C13 / Fmaj9",""
"c-004-Careless love.musicxml","c","Careless love","harmonized","12","50","6","0","Ab","1 2 3 4 5 6 7 8","6","3","F minor","reference","Estratégia — Centro de referência","Fm7 | Eb7 | Fm7 | Eb7 | Bbm7/Db | Fm/C | Fm7 | Fm7",""
"c-005-Cariba.musicxml","c","Cariba","harmonized","33","89","21","0","F","1 2 3 4 5 6 7 8","7","4","D minor","melody","Estratégia — Contraponto de Baixo","Dmaj7 / A7/G / E7/G# / Ddim7/A / Bbmaj7/D",""
"c-006-Casa forte.musicxml","c","Casa forte","harmonized","24","72","30","0","","1 2 3 4 5 6 7 8","8","8","D minor","reference","Estratégia — Contraponto de Baixo","Dmaj7 / Gmaj7 / Fmaj7/E / A7 / Dmaj7",""
"c-008-Cedar's blues.musicxml","c","Cedar's blues","harmonized","33","214","33","0","Bb","1 2 3 4 5 6 7 8","7","8","Bb major","reference","Estratégia — Cromático Linear","Bbdim7 / Bbdim7/B / Bdim7/C / F7",""
"c-009-Celia.musicxml","c","Celia","harmonized","33","123","76","0","C","1 2 3 4 5 6 7 8","5","8","B major","reference","Estratégia — Tonal Clássico","Bmaj7 / Bmaj7/E / F#13 / Bmaj7",""
