"bucketId","bucketTitle","question","file","title","selectedCenter","selectedCenterSource","proposalCount","referenceOverlapCount","primaryProposalName","primaryChords"
"reference-strong","Referencia forte","Quando a cifra do autor e muito presente, o centro escolhido e a proposta fazem sentido musical?","a-010-After you.musicxml","After you","Bb major","reference","14","8","Estratégia — Cromático Linear","Bb6 / Bdim7 / C7 / F7"
"reference-strong","Referencia forte","Quando a cifra do autor e muito presente, o centro escolhido e a proposta fazem sentido musical?","a-006-African flower.musicxml","African flower","F minor","reference","13","8","Estratégia — Tonal Clássico","Fmaj7 / Fm7/Bb / Fmaj7/C / Fm7"
"reference-strong","Referencia forte","Quando a cifra do autor e muito presente, o centro escolhido e a proposta fazem sentido musical?","a-013-Ain't it the truth.musicxml","Ain't it the truth","Eb major","reference","12","8","Estratégia — Tonal Clássico","Ebmaj7 / Bb7/Ab / Ebmaj7/Bb / Ebmaj7"
"melody-first","Melodia primeiro","Quando a melodia sustenta a escolha, a harmonia basica evita excesso de dependencia da referencia?","b-032-Blue in green.musicxml","Blue in green","Bb major","melody","11","8","Estratégia — Tonal Clássico","Bbmaj7 / F7/Eb / Bb6/F / Bbmaj7"
"melody-first","Melodia primeiro","Quando a melodia sustenta a escolha, a harmonia basica evita excesso de dependencia da referencia?","f-033-Freight trane.musicxml","Freight trane","C major","melody","9","8","Estratégia — Vamp dominante","C13 | C13 | Bb13 | C13 | Bb13 | C13sus4 / C13 | Bb13sus4 / Bb13 | C13sus4 / C13"
"melody-first","Melodia primeiro","Quando a melodia sustenta a escolha, a harmonia basica evita excesso de dependencia da referencia?","e-011-End of a love affair.musicxml","End of a love affair","F# major","melody","5","8","Estratégia — Cromático Linear","F#maj7 / A#dim7/G / B#dim7/G / G#7"
"many-proposals","Muitas propostas","Quando ha muitas rotas possiveis, o ranking escolhe a proposta mais clara?","d-025-Donna Lee.musicxml","Donna Lee","C major","reference","12","8","Estratégia — Tonal Clássico","Cmaj7 / Fmaj7 | G7 / C6"
"many-proposals","Muitas propostas","Quando ha muitas rotas possiveis, o ranking escolhe a proposta mais clara?","f-015-Firm roots.musicxml","Firm roots","C major","reference","14","7","Estratégia — Tonal Clássico","Cmaj7 / G7/F / Cmaj7/G / Cmaj7"
"many-proposals","Muitas propostas","Quando ha muitas rotas possiveis, o ranking escolhe a proposta mais clara?","a-052-Ask me now.musicxml","Ask me now","C major","reference","12","7","Estratégia — Tonal Clássico","Cmaj7 / Dm7/F / Gm7 / Cmaj7"
"chromatic-linear","Cromatico linear","Quando o motor escolhe cromatismo, isso soa como condução funcional ou como artificio?","c-034-Crazeology.musicxml","Crazeology","Eb major","reference","10","8","Estratégia — Cromático Linear","Ebmaj7 / Adim7/E / F7 / D7/Bb"
"chromatic-linear","Cromatico linear","Quando o motor escolhe cromatismo, isso soa como condução funcional ou como artificio?","d-017-Detour ahead.musicxml","Detour ahead","Bb major","reference","10","8","Estratégia — Cromático Linear","Bbmaj7 / Ddim7/B / Ddim7/B | Am7b5/C"
"chromatic-linear","Cromatico linear","Quando o motor escolhe cromatismo, isso soa como condução funcional ou como artificio?","e-002-E.S.P..musicxml","E.S.P.","C major","reference","9","8","Estratégia — Cromático Linear","Cmaj7 / Cdim7/Db / D7 / G#dim7/G"
"bass-counterpoint","Contraponto de baixo","A conducao do baixo esta ajudando a frase ou criando complexidade antes da hora?","b-037-Blueberry hill.musicxml","Blueberry hill","D minor","reference","10","8","Estratégia — Contraponto de Baixo","Dm7 / Gm6 / E7/G# / A7 / Dmaj7"
"bass-counterpoint","Contraponto de baixo","A conducao do baixo esta ajudando a frase ou criando complexidade antes da hora?","a-039-Another Time.musicxml","Another Time","Bb major","reference","9","8","Estratégia — Contraponto de Baixo","Bbmaj7 / F7/Eb / C7/E / A7/F / G#dim7/Bb"
"bass-counterpoint","Contraponto de baixo","A conducao do baixo esta ajudando a frase ou criando complexidade antes da hora?","e-008-Eighty one.musicxml","Eighty one","F minor","reference","9","8","Estratégia — Contraponto de Baixo","Fmaj9 / Bbmaj7 / G7/B / E7/C / Fmaj9"
"minor-centers","Centros menores","O sistema separa bem menor funcional, menor modal e centro local sugerido pela referencia?","b-035-Blue room.musicxml","Blue room","C minor","reference","10","8","Estratégia — Tonal Clássico","Cmaj7 / G7/F / Cmaj7/G / Cmaj7"
"minor-centers","Centros menores","O sistema separa bem menor funcional, menor modal e centro local sugerido pela referencia?","b-043-Boplicity.musicxml","Boplicity","C minor","reference","8","8","Estratégia — Centro de referência","Abmaj7 | Cm6/G | Cm | Cm | Fm7 | Fm7 | Dm7b5 | Cm"
"minor-centers","Centros menores","O sistema separa bem menor funcional, menor modal e centro local sugerido pela referencia?","c-006-Casa forte.musicxml","Casa forte","D minor","reference","8","8","Estratégia — Contraponto de Baixo","Dmaj7 / Gmaj7 / Fmaj7/E / A7 / Dmaj7"
"short-forms","Formas curtas","Em musicas curtas, o app encontra uma janela representativa sem superinterpretar pouca informacao?","a-053-At last.musicxml","At last","F major","reference","8","8","Estratégia — Tonal Clássico","Fmaj7 / Gm7/Bb / Fmaj7(#11)/C / Fmaj7"
"short-forms","Formas curtas","Em musicas curtas, o app encontra uma janela representativa sem superinterpretar pouca informacao?","c-003-Caravan.musicxml","Caravan","F major","reference","6","8","Estratégia — Tonal Clássico","Fmaj7 / Bbmaj7 / C13 / Fmaj9"
"short-forms","Formas curtas","Em musicas curtas, o app encontra uma janela representativa sem superinterpretar pouca informacao?","b-031-Blue Daniel.musicxml","Blue Daniel","Bb major","reference","6","8","Estratégia — Contraponto de Baixo","Edim7/Bb / Ebmaj7 / Dm7/C / F7 / Bbmaj7"
"dense-harmony","Alta densidade harmonica","Em cifras densas, a proposta gerada permanece legivel para o usuario?","b-026-Black Orpheus.musicxml","Black Orpheus","Eb major","reference","8","8","Estratégia — Tonal Clássico","Ebmaj7 / Fm7/Ab / Bb7 / Ebmaj7"
"dense-harmony","Alta densidade harmonica","Em cifras densas, a proposta gerada permanece legivel para o usuario?","c-013-Chameleon.musicxml","Chameleon","C major","reference","7","8","Estratégia — Tonal Clássico","C6 / Fmaj7 / C6/G / Cmaj7"
"dense-harmony","Alta densidade harmonica","Em cifras densas, a proposta gerada permanece legivel para o usuario?","a-027-All of you.musicxml","All of you","A minor","reference","5","8","Estratégia — Cromático Linear","Amaj7 / C#dim7/Bb / C#dim7/Bb / B#dim7/B"
