"file","title","center","rank","measures","role","layer","name","route","unresolved","guideTones","chromaticBass","slashDensity","legibilityPenalty","rankingRootAgreement","referenceStatus","functionAgreement","rootAgreement","chords","evidence"
"c-034-Crazeology.musicxml","Crazeology","Eb major","1","1","primary","reharmonization","Estratégia — Cromático Linear","chromatic","0","2","0","0.5","0","0","aligned","1","0","Ebmaj7 / Adim7/E / F7 / D7/Bb","Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Condução de vozes: terça dominante conduz para a tônica de chegada; Condução de vozes: baixo conduz por grau conjunto; Rota harmônica: rota cromática; Rota harmônica: rota atravessa evento sem função tonal direta"
"c-034-Crazeology.musicxml","Crazeology","Eb major","2","1 2 3 4 5 6 7 8","adventurous","reharmonization","Estratégia — Vamp dominante","radical","7","7","0","0","0","0.25","partially-aligned","0.63","0.25","Eb13 | Eb13 | Eb13 | Eb13 | Db13 | Eb13 | Eb13 | Eb13","Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Condução de vozes: terça dominante sem chegada clara; Condução de vozes: sétima dominante sem resolução clara; Rota harmônica: rota radical; Rota harmônica: rota ganha clareza por resolução de guide tones"
"c-034-Crazeology.musicxml","Crazeology","Eb major","3","1 2 3","adventurous","reharmonization","Estratégia — Gramática funcional ii-V","radical","1","3","0","0.33","0","0","divergent","0.33","0","Dm7b5 | G7b13/Eb | Cm6","Condução de vozes: usa inversão simples para suavizar o baixo; Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante sem resolução clara; Rota harmônica: rota radical"
"c-034-Crazeology.musicxml","Crazeology","Eb major","4","3 4 5","adventurous","reharmonization","Estratégia — Gramática funcional ii-V","radical","1","3","0","0.33","0","0.33","partially-aligned","0.67","0.33","Dm7b5 | G7b13/Eb | Cm6","Condução de vozes: usa inversão simples para suavizar o baixo; Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante sem resolução clara; Rota harmônica: rota radical"
"c-034-Crazeology.musicxml","Crazeology","Eb major","5","5 6 7","adventurous","reharmonization","Estratégia — Gramática funcional ii-V","radical","1","3","0","0.33","0","0","divergent","0.33","0","Dm7b5 | G7b13/Eb | Cm6","Condução de vozes: usa inversão simples para suavizar o baixo; Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante sem resolução clara; Rota harmônica: rota radical"
"c-034-Crazeology.musicxml","Crazeology","Eb major","6","1","alternative","reharmonization","Estratégia — Tonal Clássico","conservative","0","0","0","0.25","0","0","aligned","1","0","Ebmaj7 / Abmaj7 / Eb6/Bb / Ebm7","Condução de vozes: baixo sustenta movimento por quarta/quinta; Condução de vozes: baixo conduz por grau conjunto; Condução de vozes: movimento conjunto estimado em 2 vozes; Rota harmônica: rota conservadora; Rota harmônica: rota preserva notas comuns"
"d-017-Detour ahead.musicxml","Detour ahead","Bb major","1","1 2","primary","reharmonization","Estratégia — Cromático Linear","chromatic","0","0","0","0.75","0","1","aligned","1","1","Bbmaj7 / Ddim7/B / Ddim7/B | Am7b5/C","Condução de vozes: baixo conduz por grau conjunto; Condução de vozes: movimento conjunto estimado em 2 vozes; Condução de vozes: movimento conjunto estimado em 4 vozes; Rota harmônica: rota cromática; Rota harmônica: rota preserva notas comuns"
"d-017-Detour ahead.musicxml","Detour ahead","Bb major","2","1 2 3 4 5 6 7 8","adventurous","reharmonization","Estratégia — Vamp dominante","radical","5","11","0","0","0","0.38","partially-aligned","0.5","0.38","Bb13 | Bb13 | Bb13sus4 / Bb13 | Bb13 | Bb13 | Bb13sus4 / Bb13 | Ab13 | Bb13","Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Condução de vozes: terça dominante sem chegada clara; Condução de vozes: terça dominante conduz para a tônica de chegada; Rota harmônica: rota radical; Rota harmônica: rota ganha clareza por resolução de guide tones"
"d-017-Detour ahead.musicxml","Detour ahead","Bb major","3","6 7 8","alternative","basic","Estratégia — Gramática funcional ii-V","conservative","0","4","0","0","0","0.33","divergent","0.33","0.33","Dm7 | G7 | Cmaj7","Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Rota harmônica: rota conservadora; Rota harmônica: rota ganha clareza por resolução de guide tones"
"d-017-Detour ahead.musicxml","Detour ahead","Bb major","4","1 2 3","adventurous","reharmonization","Estratégia — Gramática funcional ii-V","radical","1","3","0","0.33","0","0","divergent","0.33","0","Am7b5 | D7b13/Bb | Gm6","Condução de vozes: usa inversão simples para suavizar o baixo; Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante sem resolução clara; Rota harmônica: rota radical"
"d-017-Detour ahead.musicxml","Detour ahead","Bb major","5","4 5 6","adventurous","reharmonization","Estratégia — Gramática funcional ii-V","radical","1","3","0","0.33","0","0.33","divergent","0.33","0.33","Am7b5 | D7b13/Bb | Gm6","Condução de vozes: usa inversão simples para suavizar o baixo; Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante sem resolução clara; Rota harmônica: rota radical"
"d-017-Detour ahead.musicxml","Detour ahead","Bb major","6","1 2 3 4 5 6 7 8","alternative","reference-aware","Estratégia — Centro de referência","radical","1","1","0","0.25","0","0.38","partially-aligned","0.5","0.38","Bb | F7/A | Cm7/Bb | Bb | Bb | Cm7 | Cm7 | Bb","Condução de vozes: usa inversão simples para suavizar o baixo; Condução de vozes: sétima dominante sem resolução clara; Condução de vozes: terça dominante conduz para a tônica de chegada; Condução de vozes: baixo conduz por grau conjunto; Rota harmônica: rota radical"
"e-002-E.S.P..musicxml","E.S.P.","C major","1","1","primary","reharmonization","Estratégia — Tonal Clássico","conservative","0","0","0","0.5","0","1","aligned","1","1","Cmaj7 / Fmaj7 / Cmaj7/G / Fm6/C","Condução de vozes: baixo sustenta movimento por quarta/quinta; Condução de vozes: baixo conduz por grau conjunto; Condução de vozes: movimento conjunto estimado em 2 vozes; Rota harmônica: rota conservadora; Rota harmônica: rota preserva notas comuns"
"e-002-E.S.P..musicxml","E.S.P.","C major","2","2 3 4","adventurous","reharmonization","Estratégia — Gramática funcional ii-V","radical","1","3","0","0.33","0","0","divergent","0.33","0","Bm7b5 | E7b13/C | Am6","Condução de vozes: usa inversão simples para suavizar o baixo; Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante sem resolução clara; Rota harmônica: rota radical"
"e-002-E.S.P..musicxml","E.S.P.","C major","3","3 4 5","adventurous","reharmonization","Estratégia — Gramática funcional ii-V","radical","1","3","0","0.33","0","0.67","divergent","0.33","0.67","Bm7b5 | E7b13/C | Am6","Condução de vozes: usa inversão simples para suavizar o baixo; Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante sem resolução clara; Rota harmônica: rota radical"
"e-002-E.S.P..musicxml","E.S.P.","C major","4","1","alternative","reharmonization","Estratégia — Cromático Linear","chromatic","0","0","0","0.75","1.2","0","aligned","1","0","Cmaj7 / Cdim7/Db / Cdim7/Db / G#dim7/D","Condução de vozes: baixo conduz por grau conjunto; Condução de vozes: mantém 1 nota comum; Condução de vozes: movimento conjunto estimado em 3 vozes; Rota harmônica: rota cromática; Rota harmônica: rota preserva notas comuns"
"e-002-E.S.P..musicxml","E.S.P.","C major","5","1","adventurous","reharmonization","Estratégia — Contraponto de Baixo","radical","1","5","0","0.4","0","1","divergent","0","1","Cmaj7 / G13/F / D7/F# / G7 / Cmaj7","Condução de vozes: usa inversão simples para suavizar o baixo; Condução de vozes: sétima dominante sem resolução clara; Condução de vozes: terça dominante conduz para a tônica de chegada; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Rota harmônica: rota radical"
"e-002-E.S.P..musicxml","E.S.P.","C major","6","1 2 3 4 5 6 7 8","alternative","reference-aware","Estratégia — Centro de referência","chromatic","1","1","0","0.38","0","0.13","divergent","0.38","0.13","Am7 | Em/G | G7 | Dm7/F | F | C/E | C | C","Condução de vozes: usa inversão simples para suavizar o baixo; Condução de vozes: sétima dominante sem resolução clara; Condução de vozes: terça dominante conduz para a tônica de chegada; Condução de vozes: baixo conduz por grau conjunto; Rota harmônica: rota cromática"
