"file","title","center","rank","measures","role","layer","name","route","bassProfile","bassBonus","slashDensity","referenceStatus","functionAgreement","rootAgreement","chords","bassLine","evidence"
"b-037-Blueberry hill.musicxml","Blueberry hill","D minor","1","1","primary","reharmonization","Estratégia — Contraponto de Baixo","chromatic","chromatic","0.1","0.2","aligned","1","0","Dm7 / Gm6 / E7/G# / A7 / Dmaj7","D -> G -> G# -> A -> D","Condução de vozes: usa inversão simples para suavizar o baixo; Linha de baixo: usa aproximação cromática recorrente; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Condução de vozes: terça dominante conduz para a tônica de chegada; Condução de vozes: baixo sustenta movimento por quarta/quinta"
"b-037-Blueberry hill.musicxml","Blueberry hill","D minor","2","6 7 8","alternative","basic","Estratégia — Gramática funcional ii-V","moderate","functional","0.04","0","divergent","0.33","0.67","Bbm7 | Eb7 | Abmaj7","Bb -> Eb -> Ab","Linha de baixo: sustenta movimento funcional por quarta/quinta; Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Rota harmônica: rota moderada"
"b-037-Blueberry hill.musicxml","Blueberry hill","D minor","3","1 2 3","alternative","basic","Estratégia — Gramática funcional ii-V","moderate","functional","0.04","0","divergent","0.33","0","Gm7 | C7 | Fmaj7","G -> C -> F","Linha de baixo: sustenta movimento funcional por quarta/quinta; Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Rota harmônica: rota moderada"
"b-037-Blueberry hill.musicxml","Blueberry hill","D minor","4","2 3 4","alternative","basic","Estratégia — Gramática funcional ii-V","moderate","functional","0.04","0","divergent","0.33","0","Gm7 | C7 | Fmaj7","G -> C -> F","Linha de baixo: sustenta movimento funcional por quarta/quinta; Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Rota harmônica: rota moderada"
"b-037-Blueberry hill.musicxml","Blueberry hill","D minor","5","3 4 5","alternative","basic","Estratégia — Gramática funcional ii-V","moderate","functional","0.04","0","divergent","0.33","0.33","Gm7 | C7 | Fmaj7","G -> C -> F","Linha de baixo: sustenta movimento funcional por quarta/quinta; Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Rota harmônica: rota moderada"
"b-037-Blueberry hill.musicxml","Blueberry hill","D minor","6","4 5 6","alternative","basic","Estratégia — Gramática funcional ii-V","moderate","functional","0.04","0","partially-aligned","0.67","0","Gm7 | C7 | Fmaj7","G -> C -> F","Linha de baixo: sustenta movimento funcional por quarta/quinta; Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Rota harmônica: rota moderada"
"a-039-Another Time.musicxml","Another Time","Bb major","1","1","primary","reharmonization","Estratégia — Contraponto de Baixo","chromatic","chromatic","0.1","0.8","aligned","1","1","Bbmaj7 / F7/Eb / C7/E / A7/F / G#dim7/Bb","Bb -> Eb -> E -> F -> Bb","Condução de vozes: usa inversão simples para suavizar o baixo; Linha de baixo: usa aproximação cromática recorrente; Condução de vozes: sétima dominante sem resolução clara; Condução de vozes: terça dominante conduz para a tônica de chegada; Condução de vozes: sétima dominante resolve descendo para a terça do alvo"
"a-039-Another Time.musicxml","Another Time","Bb major","2","2 3 4","adventurous","reharmonization","Estratégia — Gramática funcional ii-V","radical","leaping","-0.12","0.33","divergent","0.33","0.33","Am7b5 | D7b13/Bb | Gm6","A -> Bb -> G","Condução de vozes: usa inversão simples para suavizar o baixo; Linha de baixo: saltos estruturais reduzem a continuidade; Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante sem resolução clara"
"a-039-Another Time.musicxml","Another Time","Bb major","3","3 4 5","adventurous","reharmonization","Estratégia — Gramática funcional ii-V","radical","leaping","-0.12","0.33","divergent","0.33","0","Am7b5 | D7b13/Bb | Gm6","A -> Bb -> G","Condução de vozes: usa inversão simples para suavizar o baixo; Linha de baixo: saltos estruturais reduzem a continuidade; Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante sem resolução clara"
"a-039-Another Time.musicxml","Another Time","Bb major","4","6 7 8","adventurous","reharmonization","Estratégia — Gramática funcional ii-V","radical","leaping","-0.12","0.33","divergent","0","0.33","Am7b5 | D7b13/Bb | Gm6","A -> Bb -> G","Condução de vozes: usa inversão simples para suavizar o baixo; Linha de baixo: saltos estruturais reduzem a continuidade; Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante sem resolução clara"
"a-039-Another Time.musicxml","Another Time","Bb major","5","1","alternative","reharmonization","Estratégia — Tonal Clássico","conservative","functional","0.04","0.25","aligned","1","1","Bbmaj7 / Ebmaj7 / Bbmaj7/F / Bbmaj7","Bb -> Eb -> F -> Bb","Linha de baixo: sustenta movimento funcional por quarta/quinta; Condução de vozes: baixo sustenta movimento por quarta/quinta; Condução de vozes: baixo conduz por grau conjunto; Condução de vozes: movimento conjunto estimado em 2 vozes; Rota harmônica: rota conservadora"
"a-039-Another Time.musicxml","Another Time","Bb major","6","1 2 3 4 5 6 7 8","alternative","reference-aware","Estratégia — Centro de referência","moderate","chromatic","0.1","0.25","partially-aligned","0.63","0.5","Bb | F7/A | Bb | Cm7 | Gm7/Bb | Cm7 | Bb | Bb","Bb -> A -> Bb -> C -> Bb -> C -> Bb -> Bb","Condução de vozes: usa inversão simples para suavizar o baixo; Linha de baixo: usa aproximação cromática recorrente; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Condução de vozes: terça dominante conduz para a tônica de chegada; Condução de vozes: terça do ii permanece como sétima do V"
"e-008-Eighty one.musicxml","Eighty one","F minor","1","1","primary","reharmonization","Estratégia — Contraponto de Baixo","chromatic","chromatic","0.1","0.4","aligned","1","1","Fmaj9 / Bbmaj7 / G7/B / E7/C / Fmaj9","F -> Bb -> B -> C -> F","Condução de vozes: usa inversão simples para suavizar o baixo; Linha de baixo: usa aproximação cromática recorrente; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Condução de vozes: terça dominante conduz para a tônica de chegada; Condução de vozes: sétima dominante sem resolução clara"
"e-008-Eighty one.musicxml","Eighty one","F minor","2","4 5 6","alternative","basic","Estratégia — Gramática funcional ii-V","moderate","functional","0.04","0","divergent","0.33","0.33","Bbm7 | Eb7 | Abmaj7","Bb -> Eb -> Ab","Linha de baixo: sustenta movimento funcional por quarta/quinta; Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Rota harmônica: rota moderada"
"e-008-Eighty one.musicxml","Eighty one","F minor","3","5 6 7","alternative","basic","Estratégia — Gramática funcional ii-V","moderate","functional","0.04","0","divergent","0.33","0","Bbm7 | Eb7 | Abmaj7","Bb -> Eb -> Ab","Linha de baixo: sustenta movimento funcional por quarta/quinta; Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Rota harmônica: rota moderada"
"e-008-Eighty one.musicxml","Eighty one","F minor","4","6 7 8","alternative","basic","Estratégia — Gramática funcional ii-V","moderate","functional","0.04","0","divergent","0.33","0","Bbm7 | Eb7 | Abmaj7","Bb -> Eb -> Ab","Linha de baixo: sustenta movimento funcional por quarta/quinta; Condução de vozes: guide tone do ii conduz para a terça do V; Condução de vozes: terça do ii permanece como sétima do V; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Rota harmônica: rota moderada"
"e-008-Eighty one.musicxml","Eighty one","F minor","5","1","alternative","reharmonization","Estratégia — Cromático Linear","chromatic","chromatic","0.1","0.25","aligned","1","1","Fmaj9 / Em7b5/Gb / G7 / C7","F -> Gb -> G -> C","Linha de baixo: usa aproximação cromática recorrente; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Condução de vozes: terça dominante conduz para a tônica de chegada; Condução de vozes: baixo conduz por grau conjunto; Rota harmônica: rota cromática"
"e-008-Eighty one.musicxml","Eighty one","F minor","6","1","adventurous","reharmonization","Estratégia — Tonal Clássico","radical","functional","0.04","0.25","aligned","1","1","Fmaj9 / C13/Bb / C7 / Fmaj9","F -> Bb -> C -> F","Linha de baixo: sustenta movimento funcional por quarta/quinta; Condução de vozes: sétima dominante sem resolução clara; Condução de vozes: terça dominante sem chegada clara; Condução de vozes: sétima dominante resolve descendo para a terça do alvo; Rota harmônica: rota radical"
