"file","title","status","referenceCenter","referenceIdiom","harmonyCount","signalScore","iiVCells","appliedDominants","primaryDominants","tritoneSubstitutions","diminishedChords","resolvedDiminished","modalBorrowingColors","minorPlagalCadences","tonicMajorSixths","slashChordDensity","examples","notes"
"imported-real-book/d-006-Darn that dream.musicxml","Darn that dream","ok","C minor","minor-functional","37","9.4","3","2","6","0","0","0","0","0","0","0","Eb7 / Ab7 / Ab7 / G7 / Eb7 / Ab7 / G7(#5) / G7(#5)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/d-008-Day of wine and roses.musicxml","Day of wine and roses","ok","Eb major","major-functional","36","12.3","0","5","4","0","0","0","4","0","0","0","D7 / Bb7 / D7 / Bb7 / F#7 / Bb7","dominantes aplicadas recorrentes; mistura modal funcional"
"imported-real-book/d-009-Dear John.musicxml","Dear John","ok","D minor","minor-functional","33","13.22","5","2","6","1","0","0","0","0","0","0.06","Bb(#11)/A / Dm6 / C7 / F6 / A7(b9) / Dm6 / Bb7(b5) / A7(b9)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/d-010-Dear old Stockholm.musicxml","Dear old Stockholm","ok","C major","major-functional","27","7.4","3","0","3","1","0","0","0","0","1","0.15","Dm7/G / G7 / Dm7/G / G7 / Dm7/G / G7 / Dm7/G / G7","cadencias ii-V detectadas; cor de tonica 6/6-9"
"imported-real-book/d-011-Dearly beloved.musicxml","Dearly beloved","ok","C major","blues","30","16.4","1","8","4","0","0","0","0","2","3","0","C9 / F6 / Fm6 / D9 / G9 / G7 / C6 / F7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/d-012-Deed i do.musicxml","Deed i do","ok","F major","blues","43","17.8","2","2","6","2","6","4","2","0","0","0","F#dim7 / C7(13) / Eb7 / D7sus4 / D7 / Bbm6 / Abdim7 / C7sus4","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; mistura modal funcional; leitura harmonica inferida: blues"
"imported-real-book/d-013-Deep purple.musicxml","Deep purple","ok","Eb minor","minor-functional","24","2.6","0","0","0","2","0","0","0","0","0","0","B7(b5) / A7(#11) / Ab7(#11) / B7 / A7(#11) / Ab7(#11) / B7","leitura harmonica inferida: minor-functional"
"imported-real-book/d-014-Deluge.musicxml","Deluge","ok","A major","blues","29","14.6","3","3","3","1","2","2","2","0","0","0","G7(b5) / C7(b9) / D7(b9) / A7(b9) / D7 / D7(b9) / G7(b9) / Gb7(b5)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; mistura modal funcional; leitura harmonica inferida: blues"
"imported-real-book/d-015-Desafinado.musicxml","Desafinado","ok","F major","blues","78","30.8","6","11","4","3","1","1","2","1","1","0","C#° / G7 / Ebm6 / G7 / C7(b9) / G7(b5) / C7(b9) / D7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/d-017-Detour ahead.musicxml","Detour ahead","ok","Bb major","blues","40","15.9","5","2","7","1","0","0","2","0","0","0","F7(b9) / Bb7 / F7 / Bb7 / Ab7 / Db7 / F7 / F7alt","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: blues"
"imported-real-book/d-018-Dexterity.musicxml","Dexterity","ok","G major","major-functional","36","12.72","5","2","5","1","4","0","0","0","0","0.11","G/B / Bbdim7 / D7 / Bbdim7 / D7 / G/B / Bbdim7 / D7","cadencias ii-V detectadas; dominantes aplicadas recorrentes"
"imported-real-book/d-019-Dinah.musicxml","Dinah","ok","Eb major","minor-functional","40","18.9","4","4","1","0","0","0","5","2","2","0","G13 / Eb7(b9) / Eb6 / D7(b9) / Ebm6 / Ebm6","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: minor-functional"
"imported-real-book/d-020-Dindi.musicxml","Dindi","ok","Gb major","blues","52","25","5","14","4","0","2","1","0","0","0","0","F7 / F7 / Bb7 / G7(#5) / C7 / F13 / Bb6 / Eb6","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; leitura harmonica inferida: blues"
"imported-real-book/d-021-Do nothing'til you hear from me.musicxml","Do nothing'til you hear from me","ok","C major","major-functional","53","19.26","4","6","5","1","3","1","2","0","0","0.08","G7(#5) / D7 / F6 / F#° / C/G / A7 / Ab7 / G7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; mistura modal funcional"
"imported-real-book/d-022-Do you know what it means to miss New Orleans -.musicxml","Do you know what it means to miss New Orleans ?","ok","G major","blues","37","11.98","3","1","2","1","0","0","4","0","0","0.19","Db/Eb / G7 / D7 / D13 / G13sus4 / A/G / Eb(b5)/G / F13sus4","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: blues"
"imported-real-book/d-023-Dolphin dance.musicxml","Dolphin dance","ok","Ab major","major-functional","40","16.1","3","7","3","1","1","0","0","1","0","0.15","Db/Eb / Bb13(b9)/Eb / C7(#9)/Eb / G7alt / D/E / C/E / D/E / F7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional"
"imported-real-book/d-025-Donna Lee.musicxml","Donna Lee","ok","C major","blues","44","25","9","6","6","1","0","0","1","0","4","0","C6 / Bb7 / A7 / G7 / G7 / A7 / G7 / C6","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/d-026-Don't blame me.musicxml","Don't blame me","ok","C major","blues","45","23.74","2","7","4","6","2","0","2","0","3","0.02","G13 / A7 / C7 / B7 / Bb7 / A7 / D7 / D7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/d-028-Don't go to strangers.musicxml","Don't go to strangers","ok","C major","blues","43","15.24","5","4","4","1","3","0","1","0","0","0.02","Ebdim7 / G7 / G7 / G7 / C/E / Ebdim7 / A7 / A7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: blues"
"imported-real-book/d-029-Don't take your love from me.musicxml","Don't take your love from me","ok","Db major","blues","31","5.1","0","3","1","0","18","1","0","0","0","0","Db7 / Gb7 / Bb7 / Eb9 / B° / Bb° / A° / Ab°","dominantes aplicadas recorrentes; diminutos com resolucao local; leitura harmonica inferida: blues"
"imported-real-book/d-030-Doodlin'.musicxml","Doodlin'","ok","G minor","minor-functional","41","10.8","0","2","6","2","2","2","0","0","0","0","D7 / E7 / F6 / Bb6 / D7sus4 / D7 / D7 / F7","dominantes aplicadas recorrentes; diminutos com resolucao local; leitura harmonica inferida: minor-functional"
"imported-real-book/d-031-Douce ambiance.musicxml","Douce ambiance","ok","F minor","minor-functional","24","13.4","0","7","3","3","1","0","0","0","0","0","Bb7 / Ab7 / G7 / C7 / F7 / Bb7 / F7(#5) / Bb7","dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/e-002-E.S.P..musicxml","E.S.P.","ok","C major","minor-functional","43","27.5","2","1","6","10","1","0","6","0","2","0","G7 / B7 / A7 / G7 / G7 / C6 / G13 / Ebdim7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: minor-functional"
"imported-real-book/e-003-Early autumn.musicxml","Early autumn","ok","E minor","minor-functional","44","10.74","2","4","2","2","0","0","0","0","0","0.07","C7(#11) / E7 / F7 / D7 / B7(#5) / A7 / A7 / D7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/e-005-Easy living.musicxml","Easy living","ok","C major","major-functional","25","9.6","3","1","3","1","1","0","0","1","1","0","G7 / F7 / G7 / G7 / A7 / A7 / Fm6 / E7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9"
"imported-real-book/e-006-Easy to love.musicxml","Easy to love","ok","Eb major","major-functional","41","17.2","5","8","4","0","0","0","0","0","0","0","Bb7 / C7 / Bb7 / C7 / Bb7 / C7 / Bb7 / C7","cadencias ii-V detectadas; dominantes aplicadas recorrentes"
"imported-real-book/e-007-Eclypso.musicxml","Eclypso","ok","Gb major","major-functional","24","5.58","0","5","0","0","0","0","0","0","0","0.04","F9sus4 / Bb9sus4 / Gb/Bb / F9sus4 / Bb9sus4 / F9sus4 / C9sus4 / Bb9sus4","dominantes aplicadas recorrentes"
"imported-real-book/e-008-Eighty one.musicxml","Eighty one","ok","F minor","minor-functional","16","0.6","0","0","1","0","0","0","0","0","0","0","Bb7 / Bb7(b9) / C7","leitura harmonica inferida: minor-functional"
"imported-real-book/e-009-El gaucho.musicxml","El gaucho","ok","A minor","minor-functional","45","13.3","1","7","3","2","0","0","0","0","0","0","D9 / D7(b9) / F13 / B7(b9) / A13 / D7alt / D9sus4 / D7alt","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/e-010-Emily.musicxml","Emily","ok","F major","minor-functional","56","24.24","8","4","4","2","2","1","2","1","1","0.02","C7 / Bb7 / Ab7 / Ab7 / C7 / G7 / G7 / G7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: minor-functional"
"imported-real-book/e-011-End of a love affair.musicxml","End of a love affair","ok","F# minor","minor-functional","59","26","0","0","0","20","0","0","0","0","0","0","C#7 / D7 / C#7 / D7 / C#7 / D7 / C#7 / D7","leitura harmonica inferida: minor-functional"
"imported-real-book/e-013-Equinox.musicxml","Equinox","ok","G major","blues","40","14.7","4","1","3","2","0","0","4","0","0","0","E7 / Eb7 / Eb7 / D7 / F7 / D7(#5) / Ab7 / D7(#5)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: blues"
"imported-real-book/e-014-Eronel.musicxml","Eronel","ok","F major","blues","38","10.16","4","3","3","0","0","0","0","0","0","0.13","G7 / Gm7/C / C7 / Bb7sus4 / Bm7/E / E7 / Ab7 / Gb7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: blues"
"imported-real-book/e-015-Estaté.musicxml","Estaté","ok","D minor","minor-functional","34","12.62","0","8","2","1","4","1","0","0","0","0.06","Dm6 / G7 / C7 / C7(#5) / F6 / A7 / A#° / E7/B","dominantes aplicadas recorrentes; diminutos com resolucao local; leitura harmonica inferida: minor-functional"
"imported-real-book/e-016-Everybody loves my baby.musicxml","Everybody loves my baby","ok","C minor","minor-functional","59","17.9","3","5","2","4","4","2","0","0","0","0","F7 / Ebm6 / Dbdim7 / F7 / Eb7 / G7 / B° / Ab9","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; leitura harmonica inferida: minor-functional"
"imported-real-book/e-018-Everything's coming up roses.musicxml","Everything's coming up roses","ok","F minor","minor-functional","34","11.9","1","7","5","0","0","0","0","0","0","0","C7 / Bb7 / Eb7 / Db7 / C7 / C7 / Eb7 / Db7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/e-019-Evidence.musicxml","Evidence","ok","C major","blues","37","20.9","5","4","5","0","4","3","1","0","7","0","C6 / D9 / G7 / C#° / G7 / C6 / G7 / C6","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/e-020-Exactly like you.musicxml","Exactly like you","ok","F minor","minor-functional","16","5.4","0","2","1","2","0","0","0","0","0","0","Bb7 / Ab7 / Fm6 / B7 / C7 / Db7 / C7 / B7","dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/f-004-Fair weather.musicxml","Fair weather","ok","Eb major","major-functional","30","17.1","5","6","1","1","1","0","2","0","0","0.2","D7/F# / Bb7 / Eb/G / D7/F# / Gm7/F / C/E / B7 / D7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional"
"imported-real-book/f-005-Falling grace.musicxml","Falling grace","ok","Db major","minor-functional","42","9","0","3","4","0","0","0","3","0","0","0","Ab7 / B7 / A7 / Ab7 / Ab7(b9) / F#7 / B7","dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: minor-functional"
"imported-real-book/f-006-Far Wes.musicxml","Far Wes","ok","G minor","minor-functional","57","8.32","2","4","0","1","0","0","0","0","0","0.11","G13 / F/G / F13 / G13 / F/G / F13 / G13 / F/G","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/f-007-Favela.musicxml","Favela","ok","G minor","minor-functional","33","13.3","0","4","4","5","0","0","0","0","0","0","Eb7 / D7(#9) / D7 / G7 / Eb7 / D7(#9) / C7(b9) / F7","dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/f-008-Fee-fi-fo-fum.musicxml","Fee-fi-fo-fum","ok","Eb major","blues","20","10.8","2","1","2","3","0","0","2","0","0","0","Bb13sus4 / Db7 / C7 / Bb13sus4 / A7(b5) / Db7 / Eb7 / E7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: blues"
"imported-real-book/f-009-Feel like making love.musicxml","Feel like making love","ok","G minor","minor-functional","38","7.26","1","3","2","0","1","1","0","0","0","0.18","C/E / C7 / C7/Bb / Gm7/F / A7(#5)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; leitura harmonica inferida: minor-functional"
"imported-real-book/f-010-Feels so good.musicxml","Feels so good","ok","C minor","minor-functional","80","23.26","6","9","8","1","0","0","0","0","0","0.03","Ab9 / Cm6 / Gm/D / D7(b9) / Bb7 / Eb6 / C7(b9) / Fm7/Eb","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/f-011-Felicidade.musicxml","Felicidade","ok","F minor","minor-functional","17","7.22","2","2","2","1","0","0","0","0","0","0.06","Eb7(b9) / Ab7 / C7(b9) / G7(b9) / C7(b9) / G7(b9) / Gm7(b5)/C / C7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/f-013-Fever.musicxml","Fever","ok","Ab major","blues","52","16.6","0","8","1","3","0","0","3","0","0","0","Ab13 / A13 / Bb13 / E13 / F13 / Gb13 / G7alt / F7sus4(b9)","dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: blues"
"imported-real-book/f-014-Filthy McNasty.musicxml","Filthy McNasty","ok","Eb major","minor-functional","28","4.86","0","2","2","0","0","0","1","0","0","0.18","Db/Ab / F7sus4 / Bb7 / Bb7 / G7 / F7 / Ebm/Ab","dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: minor-functional"
"imported-real-book/f-015-Firm roots.musicxml","Firm roots","ok","C major","blues","43","24.7","7","6","2","4","0","0","3","0","0","0","G7 / G7 / C7 / Bb7 / Eb7 / C7 / Db7 / B7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: blues"
"imported-real-book/f-017-500 miles high.musicxml","500 miles high","ok","Bb minor","minor-functional","9","3.1","0","0","1","1","1","1","0","0","0","0","D° / Gb13 / F13 / F7","diminutos com resolucao local; leitura harmonica inferida: minor-functional"
"imported-real-book/f-018-Five spot after dark.musicxml","Five spot after dark","ok","F major","minor-functional","40","19.5","5","3","6","2","1","0","2","1","1","0","C7 / Bb9 / Db9 / C7 / D7 / C7 / F6 / B13","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: minor-functional"
"imported-real-book/f-019-Flamingo.musicxml","Flamingo","ok","C major","major-functional","37","13.9","4","5","3","1","0","0","0","0","1","0.05","G7 / C7 / F#7 / E7 / A7 / D/F# / G7 / Dm/F","cadencias ii-V detectadas; dominantes aplicadas recorrentes; cor de tonica 6/6-9"
"imported-real-book/f-020-Fly me to the moon.musicxml","Fly me to the moon","ok","Eb major","blues","49","21.28","1","0","9","8","1","1","0","0","7","0.14","Eb6 / Eb7/Db / B7 / Bb7 / Eb6 / Eb7/Db / B7 / Bb7","cadencias ii-V detectadas; diminutos com resolucao local; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"imported-real-book/f-021-Flying home.musicxml","Flying home","ok","C major","major-functional","35","12.4","4","2","5","1","0","0","1","0","0","0","G7 / G7 / A7 / G7 / D7(b5) / D7 / G7 / G7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional"
"imported-real-book/f-023-Footprints.musicxml","Footprints","ok","Eb major","major-functional","42","14.2","4","4","5","0","1","0","1","0","2","0.05","Bb7 / Eb6/9 / F9 / Bb7 / C7 / Bb7 / Gbdim7 / D7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9"
"imported-real-book/f-024-For all we know.musicxml","For all we know","ok","Db major","blues","61","22.1","8","6","8","0","0","0","1","0","0","0","D7sus4 / D7sus4 / Ab7 / Bb7 / Ab7 / Bb7 / Ab7 / Bb7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: blues"
"imported-real-book/f-025-For regulars only.musicxml","For regulars only","ok","F major","major-functional","67","22.82","9","5","9","0","2","0","1","0","0","0.01","C7 / C7 / C7 / D7 / C7 / C7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional"
"imported-real-book/f-026-For sentimentals reasons.musicxml","For sentimentals reasons","ok","C major","minor-functional","23","8.98","0","1","1","1","0","0","5","0","1","0.04","G7(b9) / B7(#9) / Bb7 / Eb7 / Bb7 / Ab7 / C6/9","dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: minor-functional"
"imported-real-book/f-028-Four.musicxml","Four","ok","Ab major","major-functional","40","26.7","8","10","5","0","1","1","1","0","2","0","Bb9 / Eb7(#5) / F9 / F7 / Eb7 / F9 / Eb7 / Ab6","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; mistura modal funcional; cor de tonica 6/6-9"
"imported-real-book/f-030-Four on six.musicxml","Four on six","ok","Bb major","blues","9","3.3","0","2","0","0","0","0","1","0","0","0","Bb7 / Eb7 / Bb7 / F7 / Eb7 / Ab7 / F7 / Eb7","dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: blues"
"imported-real-book/f-032-Freedom jazz dance.musicxml","Freedom jazz dance","ok","F minor","minor-functional","22","8.7","2","4","1","1","0","0","0","0","0","0","C7 / E7(#5) / Ab7 / Gb7 / F7 / E7 / Eb7 / Ab7(#9)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/f-033-Freight trane.musicxml","Freight trane","ok","F major","blues","51","18.38","0","2","0","9","0","0","4","0","0","0.04","C13sus4 / C13 / Bb13sus4 / Bb13 / C13sus4 / C13 / Bb13sus4 / Bb13","dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: blues"
"imported-real-book/f-034-Friday night at the Cadillac club.musicxml","Friday night at the Cadillac club","ok","F minor","minor-functional","33","6.4","2","2","3","0","0","0","0","0","0","0","C7 / C7(b9) / Db7 / G7 / F7(#11) / Bb7(13) / C7(b9) / Db7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"imported-real-book/f-035-Fried bananas.musicxml","Fried bananas","ok","F major","major-functional","36","0","0","0","0","0","0","0","0","0","0","0","","Vocabulário funcional direto, sem cromatismo aplicado forte nesta leitura."
"imported-real-book/f-036-Friends and strangers.musicxml","Friends and strangers","ok","F minor","minor-functional","59","14.8","4","5","3","2","0","0","0","0","0","0.05","A/G / A/G / A/G","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
